,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
413,1968,58,NYK,Hal Booker,Cheyney (PA),0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,1968,59,LAL,Lou Shephard,Missouri State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,1968,60,BOS,Thad Jaracz,Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,1968,61,ATL,Rusty Parker,Miami (FL),0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,1968,62,PHI,Larry Miller,UNC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,1968,63,MIL,Joe Franklin,Wisconsin,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,1968,64,PHO,Harry Hollines,Denver,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,1968,65,SDR,Eldridge Webb,Tulsa,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,1968,66,SEA,Ron Guziak,Duquesne,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,1968,67,CHI,Ken Barnett,University of Delaware,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,1968,68,BAL,Joe Heiser,Princeton,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,1968,69,CIN,Calvin Martin,Texas Southern,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,1968,70,DET,Wally Anderzunas,Creighton,1,44,370,159,82,9,0.392,0.0,0.63,370,3.6,1.9,0.2,-0.2,-0.023,0.0,0.0
428,1968,71,SFW,Bob Allen,Marshall,1,27,232,48,56,10,0.326,0.0,0.556,232,1.8,2.1,0.4,0.1,0.027999999999999997,0.0,0.0
429,1968,72,NYK,Brian Brunkhorst,Marquette,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,1968,73,LAL,Nick Pino,Kansas State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,1968,74,BOS,Jerry Newsom,Indiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,1968,75,ATL,Phil Wagner,Georgia Tech,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,1968,76,PHI,Chuck Williams,Colorado,2,138,2869,754,238,449,0.44299999999999995,0.0,0.809,2869,5.5,1.7,3.3,1.9,0.032,-2.8,-0.6
434,1968,77,PHO,Rod Knowles,Davidson,0,8,40,9,9,0,0.28600000000000003,0.0,0.33299999999999996,40,1.1,1.1,0.0,-0.1,-0.14800000000000002,0.0,0.0
435,1968,78,MIL,Fred Smith,Hawaii,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,1968,79,SDR,Rick Adelman,Loyola Marymount,7,462,10427,3579,1129,1606,0.415,0.0,0.713,10427,7.7,2.4,3.5,10.0,0.046,-1.4,0.3
439,1968,80,SEA,Jim McKean,Washington State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,1968,81,CHI,Willie Davis,University of North Texas,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,1968,82,BAL,Jasper Wilson,Southern University and A&M College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,1968,83,CIN,Dick Dumas,Northeastern State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,1968,84,DET,Larry Newbold,Long Island University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,1968,85,SFW,Dave Reasor,West Virginia,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,1968,86,NYK,Bob Waldal,Dickinson College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,1968,87,LAL,Dennis Hrcka,Hillsdale College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,1968,88,BOS,Mike Lewis,Duke,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,1968,89,ATL,Oscar Smith,Elizabeth City State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,1968,90,PHI,Bill Jones,Fairfield,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,1968,91,MIL,Tom Kondla,Minnesota,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,1968,92,PHO,Charles Parkes,Idaho State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,1968,93,SDR,Aaron Sellers,Jackson State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,1968,94,SEA,Willie Rogers,Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,1968,95,CHI,Lloyd Higgins,Point Loma Nazarene,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,1968,96,BAL,Barry Orms,Saint Louis,1,64,916,181,158,49,0.309,0.0,0.483,916,2.8,2.5,0.8,-0.7,-0.034,0.0,0.0
458,1968,97,CIN,Dave Williams,Mississippi State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,1968,98,DET,Harry Laurie,Saint Peter's College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,1968,99,SFW,Walt Platkowski,Bowling Green,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,1968,100,NYK,Bobby Hooper,Dayton,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,1968,101,LAL,John Smith,University of Southern Colorado,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,1968,102,BOS,Julius Keye,Alcorn State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,1968,103,ATL,Marin Baietti,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,1968,104,PHI,Melvin Jones,Albany State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,1968,105,PHO,Brian Clare,Denver,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,1968,106,MIL,Elbert Miller,UNLV,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,1968,107,SDR,John Schetzsle,Ashland University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,1968,108,SEA,Jimmy Smith,Utah State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,1968,109,CHI,Corky Bell,Loyola Chicago,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,1968,110,BAL,Wayne Chapman,Western Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,1968,111,CIN,Butch Joyner,Indiana,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,1968,112,DET,Vaughn Harper,Syracuse,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,1968,113,SFW,Art Wilmore,San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,1968,114,NYK,Roger Bohnenstiel,Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,1968,115,LAL,George Stone,Marshall,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,1968,116,BOS,Bill Butler,St. Bonaventure,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,1968,117,ATL,Mack Daughty,Albany State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,1968,118,PHI,Clarence Brookins,Temple,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,1968,119,MIL,Cliff Berger,Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,1968,120,PHO,Mervin Jackson,Utah,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,1968,121,SDR,Mike Butler,Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,1968,122,SEA,Joe Kennedy,Duke,2,86,1323,454,261,67,0.373,0.0,0.794,1323,5.3,3.0,0.8,-0.1,-0.003,0.0,0.0
488,1968,123,CHI,Mike Weaver,Northwestern,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,1968,124,BAL,Steve Adelman,Boston College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,1968,125,CIN,Robert Wyendanet,Vanderbilt,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,1968,126,DET,Tom Baack,Nebraska,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,1968,127,SFW,Bob Heaney,Santa Clara,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,1968,128,NYK,Sylvester Adams,North Carolina A&T,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,1968,129,LAL,Charles Alford,East Carolina University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,1968,130,BOS,Ivan Leschinsky,Long Island University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,1968,131,ATL,Dwight Waller,Tennessee State,1,11,29,7,10,1,0.222,0.0,0.429,29,0.6,0.9,0.1,-0.1,-0.134,0.0,0.0
497,1968,132,PHI,Greg Cisson,Rider University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,1968,133,PHO,Lee Davis,NC Central,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,1968,134,MIL,Eugene Jones,Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,1968,135,SDR,Leonardo Epps,Clark Atlanta University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,1968,136,SEA,Jim Marsh,USC,1,39,375,119,84,30,0.33299999999999996,0.0,0.695,375,3.1,2.2,0.8,-0.3,-0.036000000000000004,0.0,0.0
504,1968,137,CHI,Jim McGonigle,Iowa State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,1968,138,BAL,Al Dixon,Bowling Green,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,1968,139,CIN,James Robinson,Rochester Institute of Technology,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,1968,140,SFW,Jerry Chandler,UNLV,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,1968,141,NYK,Bob Redd,Marshall,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,1968,142,LAL,Harry Singletary,Presbyterian College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,1968,143,BOS,Tom Neimeir,University of Evansville,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,1968,144,ATL,Henry Watkins,Tennessee State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,1968,145,PHI,Bill Soens,Miami (FL),0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,1968,146,MIL,Brad Luchini,Marquette,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,1968,147,PHO,Ron Boone,Idaho State University,5,379,10795,5284,1046,1273,0.45399999999999996,0.337,0.8540000000000001,10795,13.9,2.8,3.4,11.5,0.051,-2.1,-0.5
517,1968,148,SDR,Roy Manning,Lane College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,1968,149,SEA,Walt Simon,Utah,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
